Predicted_FIIs,Y_Test,Y_Pred,Mean_of_Future_Values_3_mo,Max_of_Future_Values_3_mo,Value_2023_11_01
KNIP11,0,1,90.66938032341346,91.25126312860095,91.28007507324219
KNCR11,1,1,102.3451279859454,103.58861326237505,100.69640350341797
HGLG11,1,1,158.3250353199919,159.39077673533927,160.2763214111328
KNRI11,0,1,155.16921445070776,155.8183933756694,158.50112915039062
IRDM11,1,0,71.77948480868257,73.61331590701143,71.77849578857422
XPLG11,0,0,101.90731662948987,104.03471440722905,107.52999877929688
MXRF11,0,0,10.399394277550412,10.439958047344966,10.601842880249023
XPML11,1,1,109.3394264769391,112.32572690715253,110.20842742919922
CPTS11,1,1,7.839068724341616,7.854713691753694,7.8397626876831055
HGRU11,0,1,126.79785647799149,128.18059206009931,133.61581420898438
RECR11,0,0,84.26704886023627,85.75822152203375,83.45762634277344
VISC11,1,1,113.69896656960793,118.17976250049739,117.93706512451172
BTLG11,1,1,97.9832420693382,98.16230953631253,99.9933853149414
HGBS11,0,1,219.2992160642742,221.1912215030001,221.25733947753906
KNHY11,1,1,101.19753299821055,103.35292064812414,100.5
HFOF11,0,0,69.53859656673777,71.206962951211,72.59503173828125
BCFF11,1,1,8.826931309825742,8.917299341069805,8.478474617004395
BRCR11,1,1,54.6784923240456,55.62178633875193,59.382774353027344
BRCO11,0,0,118.4077242498779,118.94403223386308,117.62653350830078
TGAR11,0,1,118.51265843651974,121.65969854672443,118.02059936523438
HGRE11,0,1,119.18042221612876,121.37729375633012,129.3627166748047
JSRE11,0,0,68.26964612069288,69.70810037897304,73.04332733154297
HGCR11,0,0,104.04860776553441,105.62085714222083,102.90083312988281
VILG11,0,0,90.60233440118616,91.74894056941353,96.55294799804688
MCCI11,0,0,90.20710679417316,90.30333580820223,87.23979949951172
BBPO11,1,0,93.75115433311566,94.7483695742609,96.75
HSML11,1,0,89.8034998849855,90.26834046767252,92.74530792236328
VRTA11,1,0,86.03839014065424,86.32376609152158,87.98699188232422
LVBI11,0,0,107.8035893309959,108.42788786243561,112.69781494140625
TRXF11,0,0,112.66755294929214,114.93286851894118,107.8133316040039
VCJR11,0,1,87.66417886547212,88.0235133831608,89.61617279052734
RBVA11,0,0,106.48317340630058,107.86573099703496,106.42007446289062
RBRR11,0,1,89.18602677805963,90.39226630325055,87.044921875
HCTR11,1,1,21.033435821533075,35.632671356201044,35.67601776123047
PVBI11,0,0,99.9879560184779,100.75576575204516,99.60086059570312
HSLG11,0,0,79.49117533365848,81.34641265869212,89.47642517089844
URPR11,0,0,82.2618975093542,84.55062453782328,82.82786560058594
KNSC11,1,1,9.804763687935424,10.386210621563293,8.769225120544434
RBRF11,0,1,70.46481887791838,71.56134099569816,75.7026138305664
MALL11,1,1,112.17695396206295,114.73455177919763,115.87700653076172
VGIP11,1,1,83.74418640136388,85.83528137206784,86.09684753417969
ALZR11,1,0,114.59323128724786,115.29495951205442,113.46894836425781
RZTR11,1,1,85.99253395846246,89.40565173136736,99.28352355957031
CVBI11,0,1,91.94266303052392,92.50070857266135,88.58722686767578
GTWR11,1,0,77.78545891797937,78.43840954447127,81.48741912841797
GGRC11,0,1,106.64487279831219,110.2219176048267,112.67498016357422
VGIR11,1,1,9.7431646717415,9.938515906087705,9.531956672668457
VGHF11,0,0,8.884214719074398,8.908702850279639,9.07316780090332
BTCI11,1,0,9.804446526381549,10.00151683002796,9.624763488769531
RZAK11,1,0,85.06850179035138,86.36312103270164,82.85752868652344
DEVA11,1,1,30.28356067298937,40.99134723304797,42.54467010498047
HABT11,0,1,85.6699372857873,88.16556182609769,87.11563873291016
VINO11,0,0,6.830282415217089,7.058479240413949,7.609921932220459
XPCI11,1,1,83.98199972674733,86.84310673444786,84.96566772460938
RBRP11,0,1,46.325463775175876,49.40604798208692,51.35869216918945
BTCR11,1,0,9.804448312639595,10.001518971514894,9.624763488769531
SDIL11,1,1,94.37976942710252,94.62833625917378,96.5
RBRL11,0,1,81.99125654680735,82.79815083743027,87.22789764404297
MGFF11,1,0,66.27622433917968,66.67645320659626,67.56595611572266
XPIN11,0,1,78.59935130562212,79.77296873489502,80.6422348022461
SARE11,0,1,44.79447894525864,45.87312299157057,47.18400955200195
RCRB11,0,1,149.09734734063514,151.2528133649827,148.18856811523438
RBRY11,1,1,99.48512129010817,100.37925260378474,98.8197250366211
BTAL11,0,1,68.42398716579957,69.23140155910562,72.38335418701172
GALG11,1,0,8.399529139179633,8.777686119058377,9.123645782470703
BCRI11,1,0,67.16667378634178,70.34638725122696,68.7431411743164
RECT11,0,1,39.23244586730447,40.82120887572232,42.89963150024414
KFOF11,0,0,92.74768295010854,93.77366582602104,93.39004516601562
SNCI11,1,1,103.50501737729756,104.30641067368214,98.21968078613281
BARI11,0,1,78.83419036859372,83.79308319085935,79.33760070800781
MFII11,0,1,88.04485155717674,90.02998584717028,90.30179595947266
BCIA11,0,0,95.72656036156768,98.42770209895195,99.11135864257812
KISU11,0,1,7.899343013760035,8.056091308590357,8.101306915283203
TEPP11,1,1,87.65253610863196,89.39596831818793,92.56864929199219
AFHI11,1,1,95.75186279979154,97.08082748357364,94.28445434570312
XPSF11,0,1,3.680356017564874,6.109915304230726,7.816031455993652
PATL11,0,0,58.687292200236946,59.8815011545874,62.13300323486328
KCRE11,1,1,96.59819630799575,98.54181713461183,93.79277801513672
FIIB11,0,1,504.26956069028853,517.8221026346731,505.6172180175781
AIEC11,0,1,47.62587769872477,52.18387671959679,55.262393951416016
PORD11,0,1,84.43632580479441,85.44983028868543,87.1373519897461
OUJP11,1,1,94.38896203785505,97.86116308628766,97.03550720214844
BPFF11,0,0,64.07127972768014,64.99865906035647,68.86559295654297
MCHF11,0,1,8.205575785108485,8.364703036586775,8.155855178833008
LGCP11,1,1,87.49208338283206,88.09791271683365,86.66876220703125
BLMG11,0,0,47.166111683629936,51.02657778577393,49.7720832824707
SNFF11,0,1,83.58412170411115,85.72801971436506,85.57170104980469
HGFF11,0,0,81.16430520684949,83.25740668630586,83.11988830566406
BTRA11,0,1,59.521241645510656,60.49689532203274,59.60932922363281
QAGR11,0,1,47.14763017430275,51.2449937075254,47.90018081665039
NSLU11,1,1,177.01398199099035,185.18872239317514,191.34011840820312
WHGR11,1,1,9.89807733277352,10.03059774269217,9.540207862854004
RBFF11,0,1,56.11951501886753,58.99802343828418,59.17314147949219
VIUR11,1,0,7.208205740774012,7.507149651569742,7.856826305389404
HSAF11,1,1,84.78670499945491,84.94012141103893,83.27605438232422
VTLT11,0,1,92.96152501620219,93.88475217997696,94.82547760009766
CPFF11,0,0,73.7107171238765,74.12330921789365,73.29090118408203
PLCR11,0,1,86.26956987499686,86.79471720416471,87.35047912597656
BLMR11,0,0,6.211788037140619,6.306872755604493,6.587474822998047
MORE11,1,1,75.16809356483368,75.82337087052439,74.46743774414062
XPPR11,0,0,13.25245590467703,16.734568889716975,18.344554901123047
RBHG11,1,0,87.37739054362301,87.86722564697587,88.7031478881836
JSAF11,1,1,102.32555262246875,105.31009101866829,100.50560760498047
CYCR11,0,1,8.354144108575804,8.623114691216305,9.130537986755371
NCHB11,1,1,81.61075028402308,82.71060306060637,79.59602355957031
MORC11,1,1,82.22697096536622,84.24983626077638,85.31130981445312
SADI11,1,1,84.80569203693373,85.51815032957887,84.22187042236328
VSLH11,1,1,3.7269133841300905,3.8398634436847,4.003582000732422
ARRI11,1,1,9.071784334433792,9.272747823028963,8.968175888061523
TORD11,0,0,-0.3275670987376164,0.11236294718775752,2.109999895095825
RVBI11,1,0,81.52498589949535,82.93312191498586,81.08723449707031
JPPA11,0,1,91.04089618712271,91.43305983639553,91.29486846923828
SPTW11,1,0,40.28711914272163,41.59945754793156,41.28351974487305
IBCR11,1,0,70.52232360838536,72.1983566284049,77.23049926757812
CARE11,0,1,1.4045568629200005,1.8518241694180029,1.409999966621399
RELG11,0,0,45.770879109697994,48.45078277587637,50.0
VIFI11,0,1,10.971259487748187,13.892814804476721,8.009913444519043
